id	legalName	ateco	region	description
0	PULITORI ED AFFINI - S.P.A.	81	Lombardia	L'azienda esegue interventi tecnici di pulizia generale per edifici a uso civile, industriale e istituzionale. Le operazioni comprendono attività di sanificazione, disinfezione, disinfestazione, derattizzazione e deblattizzazione, nonché la rimozione e il trasporto di materiali di scarto mediante l'impiego di dispositivi tecnici e macchinari specializzati. Gli interventi si estendono al trattamento di superfici e ambienti in contesti quali strutture sanitarie, complessi infrastrutturali e impianti di trasporto, mediante tecniche specifiche del settore.
1	HNH HOSPITALITY S.P.A.	55	Veneto	L'azienda opera nel settore dell'ospitalità attraverso la gestione di una rete di strutture ricettive caratterizzate da segmenti differenziati per alberghi di lusso, business e boutique. L'attività prevede l'erogazione di alloggi tecnicamente strutturati con camere e suite dotate di tecnologie avanzate, spazi congressuali, sale meeting, strutture per ristorazione interna e aree wellness. L'azienda gestisce l'implementazione di servizi alberghieri integrati, comprendenti allestimenti audiovisivi, catering e supporto organizzativo per eventi istituzionali, evidenziati dalla partecipazione a bandi pubblici per forniture di servizi di pernottamento e utilizzo di spazi operativi per personale istituzionale. La struttura opera attraverso una centralizzazione gestionale che coordina soluzioni specifiche per la fornitura di servizi innovativi in ambito ricettivo.
2	SERVIZI OSPEDALIERI S.P.A.	96	Emilia-Romagna	L'azienda sviluppa attività di lavanderia industriale attraverso processi di lavaggio ad acqua e a secco applicati a biancheria, materasseria, indumenti e abiti da lavoro, in aggiunta a operazioni di noleggio e logistica integrata per il medesimo parco beni. Le operazioni tecniche comprendono il lavaggio industriale, la sanificazione, la disinfezione e la stiratura, nonché il confezionamento sterile di pacchi procedurali e lo sterilizzazione, mediante impianti specifici che utilizzano trattamenti a vapore e perossido di idrogeno. Vengono altresì gestite centrali di sterilizzazione e progettati impianti e locali dedicati alle lavorazioni di biancheria e strumentario chirurgico, mediante processi di assemblaggio e confezionamento destinati all’ambito sanitario.
3	COOPERATIVA SOCIALE IN CAMMINO SOCIETA' COOPERATIVA ONLUS	87	Emilia-Romagna	L'azienda opera nella gestione diretta di strutture socio-assistenziali, socio-riabilitative e socio-sanitarie in regime residenziale e semiresidenziale, includendo l'organizzazione di attività integrate quali somministrazione pasti, manutenzione ordinaria, lavanderia, portierato, reception e segreteria. L'attività comprende la gestione di trasporto specializzato per soggetti con disabilità, l'erogazione di interventi infermieristici, medici e riabilitativi sia in sede domiciliare che all'interno delle strutture, nonché la pianificazione tecnica e progettuale di servizi assistenziali. Vengono coordinati anche interventi di supporto in ambito scolastico, educativo e ausiliario, inclusa la gestione di attività di animazione e assistenza tutelare, in convenzione con enti pubblici e privati.
4	EOLO S.P.A.	61	Lombardia	L'azienda eroga connettività Internet a banda ultralarga tramite l'impiego di tecnologie wireless Fixed Wireless Access e infrastrutture in fibra ottica FTTH. L'attività operativa comprende la fornitura di linee ADSL e HDSL, l'implementazione di reti digitali con router Wi-Fi e configurazioni di indirizzamento IP statico, nonché l'erogazione di servizi di Virtual Machine. In parallelo, l'organizzazione si occupa del commercio elettronico di hardware, software e componenti elettronici finalizzati alla realizzazione e gestione delle infrastrutture di rete fissa, partecipando a procedure per l'acquisto e l'aggiornamento di sistemi di connettività in ambito pubblico.
5	PROGETTO ESMERALDA S.R.L.	55	Sardegna	L'azienda opera nella gestione di complessi ricettivi, fornendo servizi di ristorazione strutturati in banqueting e catering e predisponendo allestimenti per eventi quali cene di gala, coffee break, convegni e servizi bed & breakfast. Le attività includono la pianificazione e l'organizzazione logistica di eventi e congressi, nonché la realizzazione integrata di servizi alberghieri in strutture ricettive.
6	GIOMI S.P.A. GESTIONE ISTITUTI ORTOPEDICI NEL MEZZOGIORNO D'ITALI A IN BREVE GIOMI S.P.A. OVVERO G.I.O.M.I. S.P.A.	86	Lazio	L'azienda opera nella gestione amministrativa e organizzativa di strutture sanitarie specialistiche, comprendendo l'amministrazione di ospedali, case di cura, residenze sanitarie assistenziali e poliambulatori. Le attività operative includono l'erogazione di prestazioni cliniche nel comparto ortopedico e traumatologico, interventi chirurgici, riabilitazione motoria, diagnostica per immagini e analisi cliniche, integrate da soluzioni informatiche dedicate alla gestione operativa dei processi sanitari.
7	COOPERATIVA ITACA SOCIETA' COOPERATIVA SOCIALE O.N.L.U.S.	88	Friuli-Venezia Giulia	La cooperativa opera nell'ambito dell'assistenza sociale non residenziale mediante la progettazione, gestione ed erogazione di interventi socio-sanitari e socio-educativi. L'attività si concretizza nella gestione di assistenza domiciliare, interventi territoriali e strutturati non residenziali per anziani, nella gestione di strutture residenziali e semiresidenziali per persone con disabilità e nella realizzazione di interventi specifici per la salute mentale. Vengono altresì erogati interventi socio-educativi rivolti a minori e alla prima infanzia e programmi dedicati alle politiche giovanili e allo sviluppo di comunità.
8	"ITALO - NUOVO TRASPORTO VIAGGIATORI S.P.A. O IN FORMA ABBREVIATA ""ITALO S.P.A."""	49	Lazio	L'azienda opera nel trasporto ferroviario passeggeri ad alta velocità utilizzando convogli ferroviari moderni commissionati a costruttori internazionali. La rete operativa comprende stazioni e tratte sia su linee dedicate ad alta velocità sia su linee convenzionali con limitazioni tecniche specifiche. La flotta è costituita da treni caratterizzati da architetture progettuali per il raggiungimento di elevate performance, con operazioni che prevedono l'impiego di modelli ad altissima velocità e la possibilità di integrazione con sistemi di trasporto su strada. Le attività sono documentate anche attraverso la partecipazione a bandi pubblici che hanno previsto l'utilizzo di locomotive per sgomberi infrastrutturali, l'erogazione di servizi ferroviari a scopi specifici e l'attivazione di percorsi integrati. L'impiego di convogli ad alte prestazioni e l'organizzazione operativa su infrastrutture miste configurano il core business dell'azienda.
9	COOP*RENO - SOCIETA' COOPERATIVA IN SIGLA COOP RENO	47	Emilia-Romagna	L'azienda opera nel commercio al dettaglio in esercizi non specializzati, gestendo una rete di punti vendita dislocati in unità locali separate dalla sede operativa. L'attività commerciale comprende il rifornimento e la distribuzione di prodotti alimentari e bevande, generi non alimentari, alimenti dietetici destinati a specifiche esigenze nutrizionali e prodotti di pasticceria e da forno freschi. L'azienda ha inoltre partecipato a gare d'appalto pubbliche per l'erogazione di prodotti dietetici, per la fornitura di generi alimentari e per l'acquisto di buoni spesa e gift cards, in contesti finalizzati all'emergenza sanitaria e alla solidarietà alimentare.
